ref_count,n2_year,n2,n1,n1_year
8,2020,806,7991,2019
19,2020,806,1149,2019
15,2020,806,7991,2018
8,2020,806,1149,2020
5,2020,806,3104,2018
7,2020,806,806,2020
5,2020,806,1149,2016
12,2020,806,806,2019
10,2020,806,1149,2018
5,2020,806,1149,2017
7,2021,806,7991,2019
5,2021,806,806,2018
5,2021,806,806,2021
9,2021,806,7991,2018
12,2021,806,806,2019
13,2021,806,806,2020
5,2021,806,1149,2019
7,2021,806,1149,2018
5,2021,806,7991,2020
6,2012,817,817,2011
5,2013,817,817,2011
6,2014,817,817,2013
6,2014,817,817,2011
8,2015,817,817,2014
5,2015,817,817,2013
6,2015,817,817,2011
7,2016,817,817,2014
7,2016,817,817,2015
6,2016,817,817,2013
7,2017,817,817,2015
12,2017,817,817,2014
6,2017,817,817,2011
12,2017,817,817,2016
6,2017,817,817,2017
7,2017,817,817,2013
7,2018,817,817,2013
16,2018,817,817,2017
6,2018,817,817,2011
12,2018,817,817,2016
12,2018,817,817,2014
8,2018,817,817,2015
10,2019,817,817,2016
11,2019,817,817,2014
7,2019,817,817,2011
19,2019,817,817,2017
16,2019,817,817,2018
9,2019,817,817,2013
8,2019,817,817,2015
22,2020,817,817,2018
5,2020,817,817,2013
8,2020,817,817,2011
9,2020,817,817,2015
11,2020,817,817,2014
17,2020,817,817,2017
9,2020,817,817,2016
19,2020,817,817,2019
6,2020,817,817,2020
20,2021,817,817,2017
29,2021,817,817,2019
12,2021,817,817,2014
19,2021,817,817,2018
6,2021,817,817,2011
11,2021,817,817,2015
7,2021,817,817,2013
19,2021,817,817,2020
13,2021,817,817,2016
5,2017,822,822,2016
5,2019,822,822,2017
5,2019,822,822,2014
5,2019,822,822,2016
7,2020,822,822,2019
5,2020,855,2381,2019
5,2020,855,855,2019
6,2021,855,855,2019
8,2021,855,855,2020
16,2011,868,868,2010
14,2012,868,868,2011
9,2012,868,868,2010
5,2013,868,868,2010
11,2013,868,868,2011
16,2013,868,868,2012
11,2014,868,868,2010
11,2014,868,868,2011
13,2014,868,868,2012
16,2015,868,868,2012
15,2015,868,868,2014
6,2015,868,868,2010
10,2015,868,868,2011
13,2016,868,868,2012
7,2016,868,183,2014
8,2016,868,868,2015
9,2016,868,868,2011
9,2016,868,868,2014
9,2017,868,868,2015
5,2017,868,868,2011
8,2017,868,868,2014
5,2018,868,868,2016
5,2018,868,868,2014
5,2021,875,875,2021
12,2011,884,884,2010
13,2012,884,884,2010
6,2012,884,884,2012
11,2012,884,884,2011
7,2013,884,884,2010
18,2013,884,884,2012
12,2013,884,884,2011
8,2014,884,884,2013
19,2014,884,884,2012
13,2014,884,884,2011
14,2014,884,884,2010
19,2015,884,884,2014
7,2015,884,884,2015
16,2015,884,884,2013
19,2015,884,884,2011
21,2015,884,884,2012
16,2015,884,884,2010
8,2016,884,884,2010
15,2016,884,884,2014
11,2016,884,884,2011
11,2016,884,884,2012
13,2016,884,884,2015
11,2016,884,884,2013
23,2017,884,884,2016
12,2017,884,884,2011
15,2017,884,884,2013
8,2017,884,884,2010
10,2017,884,884,2017
17,2017,884,884,2012
18,2017,884,884,2014
32,2017,884,884,2015
17,2018,884,884,2018
42,2018,884,884,2017
20,2018,884,884,2012
8,2018,884,884,2010
15,2018,884,884,2013
29,2018,884,884,2016
18,2018,884,884,2014
27,2018,884,884,2015
12,2018,884,884,2011
20,2019,884,884,2012
8,2019,884,884,2010
42,2019,884,884,2015
19,2019,884,884,2014
5,2019,884,5679,2019
57,2019,884,884,2017
73,2019,884,884,2018
36,2019,884,884,2019
11,2019,884,884,2013
13,2019,884,884,2011
32,2019,884,884,2016
5,2020,884,180,2014
5,2020,884,27185,2018
5,2020,884,5679,2017
58,2020,884,884,2017
5,2020,884,180,2018
5,2020,884,1149,2019
95,2020,884,884,2019
5,2020,884,26042,2018
5,2020,884,5679,2018
12,2020,884,884,2010
16,2020,884,884,2011
9,2020,884,2381,2019
61,2020,884,884,2020
18,2020,884,884,2012
45,2020,884,884,2015
8,2020,884,3064,2018
8,2020,884,4262,2019
26,2020,884,884,2014
7,2020,884,3064,2019
6,2020,884,180,2017
5,2020,884,2381,2017
36,2020,884,884,2016
14,2020,884,884,2013
89,2020,884,884,2018
10,2020,884,5679,2019
6,2020,884,2381,2018
5,2020,884,4262,2018
18,2021,884,884,2012
5,2021,884,180,2014
7,2021,884,5109,2020
181,2021,884,884,2020
8,2021,884,2381,2018
5,2021,884,7570,2020
14,2021,884,5679,2019
45,2021,884,884,2015
5,2021,884,39706,2018
13,2021,884,884,2013
72,2021,884,884,2021
5,2021,884,1149,2020
6,2021,884,3064,2018
10,2021,884,5109,2019
7,2021,884,5679,2018
5,2021,884,2381,2020
8,2021,884,884,2010
5,2021,884,4713,2020
5,2021,884,4713,2019
7,2021,884,3064,2019
13,2021,884,5679,2021
118,2021,884,884,2019
75,2021,884,884,2017
15,2021,884,884,2011
28,2021,884,884,2016
5,2021,884,180,2018
18,2021,884,884,2014
99,2021,884,884,2018
10,2021,884,4262,2019
28,2021,884,5679,2020
7,2021,884,26042,2020
9,2021,884,2381,2019
6,2021,884,1149,2019
5,2013,887,887,2012
6,2015,887,887,2014
5,2016,887,887,2013
6,2016,887,887,2014
6,2017,887,887,2014
6,2018,887,887,2014
5,2018,887,887,2012
6,2019,887,887,2014
6,2020,887,887,2014
5,2021,887,887,2019
